N,P,K,temperature,humidity,ph,rainfall,label
90.0,42.0,43.0,20.879,82.002,6.502,202.935,rice
85.0,58.0,41.0,21.77,80.319,7.038,226.655,rice
60.0,55.0,44.0,23.004,82.32,7.84,263.964,rice
74.0,35.0,40.0,26.491,80.158,6.98,242.864,rice
78.0,42.0,42.0,20.13,81.604,7.628,262.717,rice
69.0,37.0,42.0,23.058,83.37,7.073,251.054,rice
69.0,55.0,38.0,22.708,82.639,5.7,271.324,rice
94.0,53.0,40.0,20.277,82.894,5.718,241.974,rice
89.0,54.0,38.0,24.515,83.535,6.685,230.446,rice
68.0,58.0,38.0,23.223,83.033,6.336,221.209,rice
91.0,53.0,40.0,26.527,81.417,5.386,264.614,rice
90.0,46.0,42.0,23.978,81.45,7.502,250.083,rice
78.0,58.0,44.0,26.8,80.886,5.108,284.436,rice
93.0,56.0,36.0,24.014,82.056,6.984,185.277,rice
94.0,50.0,37.0,25.665,80.663,6.948,209.586,rice
60.0,48.0,39.0,24.282,80.3,7.042,231.086,rice
85.0,38.0,41.0,21.587,82.788,6.249,276.655,rice
91.0,35.0,39.0,23.793,80.418,6.97,206.261,rice
77.0,38.0,36.0,21.865,80.192,5.953,224.555,rice
88.0,35.0,40.0,23.579,83.587,5.853,291.298,rice
89.0,45.0,36.0,21.325,80.474,6.442,185.497,rice
76.0,40.0,43.0,25.157,83.117,5.07,231.384,rice
67.0,59.0,41.0,21.947,80.973,6.012,213.356,rice
83.0,41.0,43.0,21.052,82.678,6.254,233.107,rice
98.0,47.0,37.0,23.483,81.332,7.375,224.058,rice
66.0,53.0,41.0,25.075,80.523,7.778,257.003,rice
97.0,59.0,43.0,26.359,84.044,6.286,271.358,rice
97.0,50.0,41.0,24.529,80.544,7.07,260.263,rice
60.0,49.0,44.0,20.775,84.497,6.244,240.081,rice
84.0,51.0,35.0,22.301,80.644,6.043,197.979,rice
73.0,57.0,41.0,21.446,84.943,5.824,272.201,rice
92.0,35.0,40.0,22.179,80.331,6.357,200.088,rice
85.0,37.0,39.0,24.527,82.736,6.364,224.675,rice
98.0,53.0,38.0,20.267,81.638,5.014,270.441,rice
88.0,54.0,44.0,25.735,83.882,6.149,233.132,rice
95.0,55.0,42.0,26.795,82.148,5.95,193.347,rice
99.0,57.0,35.0,26.757,81.177,5.96,272.299,rice
95.0,39.0,36.0,23.863,83.152,5.561,285.249,rice
60.0,43.0,44.0,21.019,82.952,7.416,298.401,rice
63.0,44.0,41.0,24.172,83.728,5.583,257.034,rice
62.0,42.0,36.0,22.781,82.067,6.43,248.718,rice
64.0,45.0,43.0,25.629,83.528,5.534,209.9,rice
83.0,60.0,36.0,25.597,80.145,6.903,200.834,rice
82.0,40.0,40.0,23.83,84.813,6.271,298.56,rice
85.0,52.0,45.0,26.313,82.366,7.224,265.535,rice
91.0,35.0,38.0,24.897,80.525,6.134,183.679,rice
76.0,49.0,42.0,24.958,84.479,5.206,196.956,rice
74.0,39.0,38.0,23.241,84.592,7.782,233.045,rice
79.0,43.0,39.0,21.666,80.709,7.062,210.814,rice
88.0,55.0,45.0,24.635,80.413,7.73,253.72,rice
60.0,36.0,43.0,23.431,83.063,5.286,219.904,rice
76.0,60.0,39.0,20.045,80.347,6.766,208.581,rice
93.0,56.0,42.0,23.857,82.225,7.382,195.094,rice
65.0,60.0,43.0,21.971,81.899,5.658,227.363,rice
95.0,52.0,36.0,26.229,83.836,5.543,286.508,rice
75.0,38.0,39.0,23.446,84.793,6.215,283.933,rice
74.0,54.0,38.0,25.655,83.47,7.12,217.378,rice
91.0,36.0,45.0,24.443,82.454,5.95,267.976,rice
71.0,46.0,40.0,20.28,82.123,7.236,191.953,rice
99.0,55.0,35.0,21.723,80.238,6.501,277.962,rice
72.0,40.0,38.0,20.414,82.208,7.592,245.151,rice
83.0,58.0,45.0,25.755,83.518,5.875,245.662,rice
93.0,58.0,38.0,20.615,83.773,6.932,279.545,rice
70.0,36.0,42.0,21.841,80.728,6.946,202.383,rice
76.0,47.0,42.0,20.083,83.291,5.739,263.637,rice
99.0,41.0,36.0,24.458,82.748,6.738,182.561,rice
99.0,54.0,37.0,21.143,80.335,5.594,198.673,rice
86.0,59.0,35.0,25.787,82.111,6.946,243.512,rice
69.0,46.0,41.0,23.641,80.285,5.012,263.11,rice
91.0,56.0,37.0,23.431,80.568,6.363,269.503,rice
61.0,52.0,41.0,24.976,83.891,6.88,204.8,rice
67.0,45.0,38.0,22.727,82.17,7.3,260.887,rice
79.0,42.0,37.0,24.873,82.84,6.587,295.609,rice
78.0,43.0,42.0,21.323,83.003,7.283,192.319,rice
75.0,54.0,36.0,26.294,84.569,7.023,257.491,rice
97.0,36.0,45.0,22.228,81.858,6.939,278.079,rice
67.0,47.0,44.0,26.73,81.785,7.868,280.404,rice
73.0,35.0,38.0,24.889,81.979,5.005,185.946,rice
77.0,36.0,37.0,26.884,81.46,6.136,194.576,rice
81.0,41.0,38.0,22.678,83.728,7.524,200.913,rice
68.0,57.0,43.0,26.088,80.379,5.706,182.904,rice
72.0,45.0,35.0,25.429,82.946,5.758,195.357,rice
61.0,53.0,43.0,26.403,81.056,6.349,223.367,rice
67.0,43.0,39.0,26.043,84.969,5.999,186.753,rice
67.0,58.0,39.0,25.282,80.543,5.453,220.115,rice
66.0,60.0,38.0,22.085,83.47,6.372,231.736,rice
82.0,43.0,38.0,23.286,81.433,5.105,242.317,rice
84.0,50.0,44.0,25.485,81.406,5.935,182.654,rice
81.0,53.0,42.0,23.675,81.035,5.177,233.703,rice
91.0,50.0,40.0,20.824,84.134,6.462,230.224,rice
93.0,53.0,38.0,26.929,81.914,7.069,290.679,rice
90.0,44.0,38.0,23.835,83.883,7.473,241.201,rice
81.0,45.0,35.0,26.528,80.122,6.158,218.916,rice
78.0,40.0,38.0,26.464,83.856,7.549,248.225,rice
60.0,51.0,36.0,22.696,82.81,6.028,256.996,rice
88.0,46.0,42.0,22.683,83.463,6.604,194.265,rice
93.0,47.0,37.0,21.533,82.14,6.5,295.924,rice
60.0,55.0,45.0,21.408,83.329,5.935,287.576,rice
78.0,35.0,44.0,26.543,84.673,7.072,183.622,rice
65.0,37.0,40.0,23.359,83.595,5.333,188.413,rice
71.0,54.0,16.0,22.613,63.69,5.749,87.759,maize
61.0,44.0,17.0,26.1,71.574,6.931,102.266,maize
80.0,43.0,16.0,23.558,71.593,6.657,66.719,maize
73.0,58.0,21.0,19.972,57.682,6.596,60.651,maize
61.0,38.0,20.0,18.478,62.695,5.97,65.438,maize
68.0,41.0,16.0,21.776,57.808,6.158,102.086,maize
93.0,41.0,17.0,25.621,66.504,6.047,105.465,maize
89.0,60.0,19.0,25.191,66.69,5.913,78.066,maize
76.0,44.0,17.0,20.416,62.554,5.855,65.277,maize
67.0,60.0,25.0,24.921,66.786,5.75,109.216,maize
70.0,44.0,19.0,23.316,73.454,5.852,94.297,maize
90.0,49.0,21.0,24.84,68.358,6.472,74.054,maize
62.0,52.0,16.0,22.275,58.84,6.967,63.87,maize
92.0,44.0,16.0,18.877,65.768,6.082,94.761,maize
66.0,54.0,21.0,25.19,60.2,5.919,72.123,maize
63.0,58.0,22.0,18.254,55.282,6.204,63.723,maize
70.0,47.0,17.0,24.612,70.416,6.6,104.162,maize
61.0,41.0,17.0,25.142,65.261,6.021,76.684,maize
66.0,53.0,19.0,23.093,60.115,6.033,65.497,maize
74.0,55.0,19.0,18.05,62.893,6.288,84.236,maize
77.0,57.0,21.0,24.932,73.804,6.55,79.74,maize
99.0,50.0,15.0,18.147,71.094,5.573,88.077,maize
74.0,56.0,22.0,18.283,66.659,6.829,80.975,maize
83.0,45.0,21.0,18.833,58.75,5.716,79.753,maize
100.0,48.0,16.0,25.718,67.221,5.549,74.514,maize
79.0,51.0,16.0,25.337,68.498,6.586,96.463,maize
94.0,39.0,18.0,23.891,57.487,5.893,102.83,maize
75.0,49.0,15.0,21.535,71.509,5.918,102.485,maize
78.0,48.0,22.0,23.089,63.104,5.588,70.434,maize
87.0,54.0,20.0,25.617,63.471,6.576,108.83,maize
87.0,35.0,25.0,21.445,63.162,6.178,65.889,maize
63.0,43.0,19.0,18.518,55.531,6.641,90.988,maize
84.0,57.0,25.0,22.535,67.992,6.489,64.408,maize
64.0,35.0,23.0,23.02,61.894,5.68,63.038,maize
60.0,46.0,22.0,24.893,65.614,6.625,87.929,maize
98.0,44.0,21.0,25.771,74.089,6.524,107.493,maize
75.0,56.0,18.0,19.398,62.357,5.696,60.951,maize
86.0,55.0,21.0,21.541,59.64,6.803,109.751,maize
98.0,35.0,18.0,23.797,74.829,6.252,91.763,maize
76.0,57.0,18.0,18.98,74.526,6.092,94.262,maize
99.0,56.0,17.0,24.108,73.131,6.234,71.075,maize
60.0,44.0,23.0,24.794,70.045,5.722,76.728,maize
74.0,48.0,17.0,21.631,60.277,6.43,69.218,maize
89.0,60.0,17.0,25.375,57.21,5.983,101.7,maize
69.0,51.0,23.0,22.217,72.854,6.801,106.621,maize
96.0,46.0,22.0,20.583,69.001,6.499,66.293,maize
61.0,60.0,15.0,24.875,68.742,6.265,91.26,maize
74.0,58.0,18.0,20.037,56.356,6.727,109.024,maize
74.0,43.0,23.0,25.952,61.89,6.325,99.579,maize
63.0,43.0,17.0,19.288,65.47,6.807,71.319,maize
99.0,36.0,20.0,20.579,65.345,6.671,78.346,maize
77.0,36.0,23.0,24.714,56.734,6.648,88.453,maize
87.0,60.0,23.0,20.273,63.912,6.439,62.503,maize
60.0,38.0,17.0,18.419,64.235,6.474,76.413,maize
94.0,54.0,17.0,23.391,61.744,5.871,107.319,maize
95.0,38.0,22.0,19.849,61.245,5.73,100.768,maize
84.0,44.0,21.0,21.869,61.91,5.85,107.268,maize
77.0,58.0,19.0,22.805,56.507,5.791,101.595,maize
66.0,44.0,20.0,19.078,69.022,6.74,80.725,maize
63.0,35.0,16.0,22.027,65.355,6.272,83.732,maize
79.0,45.0,20.0,23.805,59.245,5.715,89.962,maize
